Ganges,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1934,2778,2458,2228,2138,1987,3613,19775,36277,40084,18625,6197,3432
1935,2389,2056,1625,1888,1654,2918,13086,38239,27645,13908,4531,3356
1936,2858,2312,2442,1434,1778,5189,22873,39497,38061,16688,6665,3830
1937,2630,2495,2392,1803,1877,3440,11893,33913,30065,18748,6379,3495
1938,2550,2176,2013,2216,2053,8557,28319,43681,33735,10132,4880,3254
1939,2291,2164,2096,1750,1790,3090,13052,28606,26545,12759,5277,3132
1940,2749,2297,1930,1910,1838,2906,12997,30806,25068,8468,4372,3203
1941,2389,2247,2271,1565,1915,4224,10760,23584,26823,10305,4670,2996
1942,2641,2552,2062,1821,1889,2590,17709,39713,36594,14615,5589,3379
1943,2585,2352,2396,1810,2022,4742,14023,33952,34858,15699,6571,3496
1944,2841,2524,1998,2475,2423,3429,13055,31000,29113,14396,5953,3456
1945,3206,2513,2183,1945,2008,2945,17212,26284,36061,20571,9491,4886
1946,3079,2415,1916,1972,2558,4630,26187,44306,37555,15348,7527,4442
1947,2826,2447,2053,1738,1653,3323,13665,35087,41052,18244,6630,3917
1948,3834,3447,2669,1944,2151,3921,20356,45581,56052,24258,7510,6094
1949,3774,3249,2721,2302,3080,5329,15599,41797,35448,16868,10141,5255
1950,2714,2617,2121,2200,2069,6189,20300,45771,33835,11779,5104,3459
1951,2444,2097,1891,1995,1969,3693,16116,25835,28181,9945,4918,3407
1952,2055,1897,1615,1834,2090,4171,21813,41671,37394,13612,4805,2860
1953,2353,1912,1893,1260,1400,2342,21741,43174,35406,15678,5525,3148
1954,3296,2930,2694,1491,1503,4441,16420,48090,37755,20508,7869,4435
1955,4182,3513,2789,2168,2079,4073,29482,53019,48268,30806,11620,6319
1956,5099,4758,3592,2336,3136,9567,25297,47990,46458,31419,16465,6726
1957,3643,3025,2405,2711,2493,3467,16722,35035,34226,12187,6713,4859
1958,4388,4438,3592,2317,2430,2963,14094,49216,35177,26055,9114,5507
1959,3898,2922,2462,2974,2886,5362,16017,43232,33284,23010,8725,5429
1960,2439,2309,2170,2233,2014,3739,19541,39423,39090,24132,6499,3266
1961,4271,3741,3338,1900,1934,5083,17233,46032,55881,42300,12331,6115
1962,3670,3045,2503,2683,2886,6785,19887,46119,42974,23309,7226,4545
1963,3621,2833,2409,2391,2727,5950,22016,40632,47748,21077,9145,4984
1964,3186,2624,2295,2226,2417,3294,21411,40274,41052,21506,7225,4285
1965,2853,2312,1958,2220,2161,3196,9704,24442,25852,9160,5277,3565
1966,2309,1951,1551,1655,1724,3222,13011,31874,25616,7630,4133,3128
1967,3064,2719,2212,1528,1615,2812,15247,30019,43571,11985,5337,3783
1968,2729,2204,1863,1775,1745,4204,22018,36984,20358,17667,5993,3736
1969,3065,2660,2507,1740,1904,4545,16547,43790,34771,18526,7247,4532
1970,2638,1499,1417,2209,2305,4727,19452,33310,34116,15202,6258,3843
1971,2617,2179,1846,1704,1903,4049,18071,37841,36553,17211,6529,3719
1972,3170,2851,2389,2338,2562,3945,11866,22129,28245,12196,6248,4292
1973,3886,2933,2393,2014,2746,7269,17506,41029,40929,26494,9535,5476
1974,2722,2336,1946,2407,2487,4253,18274,45432,34190,15368,6760,4004
1975,1882,1469,830,1882,1713,3416,29313,44039,39603,20042,6973,3405
1976,1424,1100,912,728,1323,4446,14911,34558,44835,13067,4563,2435
1977,2281,1753,1550,969,1167,2474,21282,43035,33619,17308,5828,3379
